BO_INICIADO,BO_EMITIDO,DATAOCORRENCIA,PERIDOOCORRENCIA,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE
12/02/2019 07:40:19,12/02/2019 08:51:18,11/02/2019,A NOITE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
12/02/2019 09:59:25,12/02/2019 10:33:54,11/02/2019,A TARDE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
12/02/2019 09:59:25,12/02/2019 10:33:54,11/02/2019,A TARDE,AVENIDA HENRY NESTL�,1800,AREA RURAL,CACAPAVA,SP,-23,1204071156402
12/02/2019 11:50:52,12/02/2019 12:00:04,11/02/2019,A TARDE,AVENIDA BRASIL,1001,JARDIM ITAMARATI,CACAPAVA,SP,-23,1097427746085
12/02/2019 15:52:44,12/02/2019 16:02:02,11/02/2019,A TARDE,RUA GON�ALVES DIAS,230,VILA SANTOS,CACAPAVA,SP,-23,950745230735
12/02/2019 22:37:17,13/02/2019 03:03:55,12/02/2019,A NOITE,RUA JOSE EDUARDO PIVATTO,213,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2646148932222
13/02/2019 04:58:21,13/02/2019 05:07:47,12/02/2019,A NOITE,RUA JOSE EDUARDO PIVATTO,213,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2646148932222
13/02/2019 04:58:21,13/02/2019 05:07:47,12/02/2019,A NOITE,RUA JOSE EDUARDO PIVATTO,213,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2646148932222
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 03:18:17,13/02/2019 05:24:53,12/02/2019,A NOITE,RUA AMSTERDAN,159,JARDIM AEROPORTO,S.JOSE DOS CAMPOS,SP,-23,2157104232549
13/02/2019 09:38:55,13/02/2019 10:32:15,12/02/2019,A NOITE,AVENIDA CIDADE JARDIM,5228,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2407297665775
13/02/2019 09:38:55,13/02/2019 10:32:15,12/02/2019,A NOITE,AVENIDA CIDADE JARDIM,5228,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2407297665775
13/02/2019 09:38:55,13/02/2019 10:32:15,12/02/2019,A NOITE,AVENIDA CIDADE JARDIM,5228,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2407297665775
13/02/2019 09:38:55,13/02/2019 10:32:15,12/02/2019,A NOITE,AVENIDA CIDADE JARDIM,5228,BOSQUE DOS EUCALIPTOS,S.JOSE DOS CAMPOS,SP,-23,2407297665775
13/02/2019 10:36:01,13/02/2019 10:36:37,10/02/2019,A NOITE,RUA VARS�VIA,24,JARDIM AUGUSTA,S.JOSE DOS CAMPOS,SP,-23,1971433
13/02/2019 13:35:05,13/02/2019 13:48:39,13/02/2019,A TARDE,PRA�A BANDEIRA,0,CENTRO,CACAPAVA,SP,-23,1028772884468
