BO_INICIADO,BO_EMITIDO,PERIDOOCORRENCIA,DATAELABORACAO,LOGRADOURO,NUMERO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,
10/03/2019 06:28:04,10/03/2019 08:11:10,DE MADRUGADA,10/03/2019 06:28:04,RUA SANTO EXPEDITO,1,PARQUE RESIDENCIAL UNI�O,S.JOSE DOS CAMPOS,SP,-23,2622342939999,
10/03/2019 06:28:04,10/03/2019 08:11:10,DE MADRUGADA,10/03/2019 06:28:04,RUA SANTO EXPEDITO,1,PARQUE RESIDENCIAL UNI�O,S.JOSE DOS CAMPOS,SP,-23,2622342939999,
10/03/2019 09:01:52,10/03/2019 09:32:17,A NOITE,10/03/2019 09:01:52,RODOVIA RODOVIA PRESIDENTE DUTRA,0,GENERAL MOTORS DO BRASIL S/A,S.JOSE DOS CAMPOS,SP,-23,168341843,
10/03/2019 10:10:38,10/03/2019 10:10:37,A TARDE,10/03/2019 10:10:38,RODOVIA GOVERNADOR CARVALHO PINTO,10781,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,270109,
10/03/2019 11:53:59,10/03/2019 12:01:50,DE MADRUGADA,10/03/2019 11:53:59,RUA CECI,622,JARDIM S�O JOS� - CENTRO,S.JOSE DOS CAMPOS,SP,-23,1928374165,
10/03/2019 15:34:28,10/03/2019 15:50:29,A TARDE,10/03/2019 15:34:28,RUA BATURITE,121,PARQUE INDUSTRIAL,S.JOSE DOS CAMPOS,SP,-23,2360010612393,
11/03/2019 09:55:07,11/03/2019 10:03:24,PELA MANHA,11/03/2019 09:55:07,RUA POLAR,213,JARDIM SAT�LITE,S.JOSE DOS CAMPOS,SP,-23,2204982711999,
11/03/2019 10:08:52,11/03/2019 10:08:57,PELA MANHA,11/03/2019 10:08:52,RUA MAESTRO FRANCISCO GAIA,370,MONTE CASTELO,S.JOSE DOS CAMPOS,SP,-23,1824025049333,
11/03/2019 10:17:57,11/03/2019 10:42:03,A NOITE,11/03/2019 10:17:57,RUA DESEMBARGADOR AL�PIO BASTOS,1,JARDIM SANTO ANTONIO,CACAPAVA,SP,-23,104717934,
11/03/2019 10:52:06,11/03/2019 11:12:25,A NOITE,11/03/2019 10:52:06,RUA NELSON BERTI,1,CENTRO,CACAPAVA,SP,-23,1028772884468,
11/03/2019 10:52:06,11/03/2019 11:12:25,A NOITE,11/03/2019 10:52:06,RUA NELSON BERTI,1,CENTRO,CACAPAVA,SP,-23,1028772884468,
11/03/2019 10:58:56,11/03/2019 11:24:24,A TARDE,11/03/2019 10:58:56,RUA SAO VITALINO,48,JARDIM S�O JUDAS TADEU,S.JOSE DOS CAMPOS,SP,-23,2560747564999,Motorola
11/03/2019 10:24:55,11/03/2019 11:29:22,PELA MANHA,11/03/2019 10:24:55,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
11/03/2019 10:24:55,11/03/2019 11:29:22,PELA MANHA,11/03/2019 10:24:55,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
11/03/2019 10:24:55,11/03/2019 11:29:22,PELA MANHA,11/03/2019 10:24:55,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
11/03/2019 10:24:55,11/03/2019 11:29:22,PELA MANHA,11/03/2019 10:24:55,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
11/03/2019 10:24:55,11/03/2019 11:29:22,PELA MANHA,11/03/2019 10:24:55,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
11/03/2019 10:24:55,11/03/2019 11:29:22,PELA MANHA,11/03/2019 10:24:55,RODOVIA SP 070,0,PARQUE INTERLAGOS,S.JOSE DOS CAMPOS,SP,-23,24745501,
11/03/2019 11:43:58,11/03/2019 12:10:15,A TARDE,11/03/2019 11:43:58,AVENIDA POETA OS�RIO P�RTO,23,JD BORDA DA MATA,CACAPAVA,SP,-23,1166203633129,
